date,news
2022-01-01,"['First Pacific Advisors LP grew its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 822.1% in the 3rd quarter, according to its most recent Form 13F filing with the SEC. The institutional investor owned 16,136 shares of the e-commerce giant’s stock after buying an additional 14,386 shares during the period.', 'Amazon.com accounts for 0.7% of First Pacific Advisors LP’s investment portfolio, making the stock its 26th biggest position. First Pacific Advisors LP’s holdings in Amazon.com were worth $53,007,000 as of its most recent filing with the SEC.\n\nA number of other institutional investors also recently bought and sold shares of AMZN.', 'B B H & B Inc. grew its stake in shares of Amazon.com by 2.5% in the 2nd quarter. B B H & B Inc. now owns 125 shares of the e-commerce giant’s stock valued at $430,000 after purchasing an additional 3 shares during the period. Farmers Trust Co. grew its stake in shares of Amazon.com by 2.8% in the 3rd quarter.', 'Pflug Koory LLC grew its stake in shares of Amazon.com by 4.3% in the 3rd quarter. Pflug Koory LLC now owns 72 shares of the e-commerce giant’s stock valued at $237,000 after purchasing an additional 3 shares during the period. Rainey & Randall Investment Management Inc. grew its stake in shares of Amazon.com by 2.1% in the 3rd quarter.', 'Piper Sandler lowered their price objective on Amazon.com from $3,904.00 to $3,875.00 and set an “overweight” rating on the stock in a research note on Friday, October 29th. Mizuho lowered their price objective on Amazon.com from $4,100.00 to $3,950.00 and set a “buy” rating on the stock in a research note on Friday, October 29th.', 'Tigress Financial increased their price target on Amazon.com from $4,370.00 to $4,460.00 and gave the stock a “buy” rating in a research report on Wednesday, November 10th. Benchmark decreased their price target on Amazon.com from $4,400.00 to $4,000.00 and set a “buy” rating on the stock in a research report on Friday, October 29th.', 'Amazon.com, Inc. has a 12 month low of $2,881.00 and a 12 month high of $3,773.08. The company has a quick ratio of 0.87, a current ratio of 1.12 and a debt-to-equity ratio of 0.42. The company has a fifty day simple moving average of $3,459.18 and a 200 day simple moving average of $3,439.38.', 'Amazon.com (NASDAQ:AMZN) last announced its quarterly earnings results on Wednesday, October 27th. The e-commerce giant reported $6.12 earnings per share (EPS) for the quarter, missing the consensus estimate of $9.10 by ($2.98). The business had revenue of $110.81 billion during the quarter, compared to the consensus estimate of $111.66 billion.', 'On average, equities research analysts expect that Amazon.com, Inc. will post 40.79 earnings per share for the current fiscal year.\n\nIn other news, SVP David Zapolsky sold 954 shares of Amazon.com stock in a transaction dated Monday, November 15th. The stock was sold at an average price of $3,537.00, for a total transaction of $3,374,298.00.', 'Amazon.com Profile\n\nAmazon.com, Inc engages in the provision of online retail shopping services. It operates through the following business segments: North America, International, and Amazon Web Services (AWS).', 'First Pacific Advisors LP Grows Stake in Amazon.com, Inc. (NASDAQ:AMZN)', 'In November 2018, Amazon.com Inc. announced it would be locating its $2.5 billion-plus East Coast HQ2 headquarters in Arlington, bringing approximately 25,000 jobs.', 'One leading factor behind this drive is companies attempting to keep up with e-commerce giant Amazon.com Inc. in getting products to consumers quickly.']"
2022-01-02,"['Honorable Mentions: The next ten most searched tickers in 2021 on Benzinga Pro by number of searches were:\n\nAmazon.com Inc (NASDAQ:AMZN)\n\nNVIDIA Corp (NASDAQ:NVDA)\n\nMeta Platforms (NASDAQ:FB)\n\nSundial Growers (NASDAQ:SNDL)\n\nMicrosoft Corp (NASDAQ:MSFT)\n\nVirgin Galactic Holdings (NYSE:SPCE)\n\nAlibaba Group Holding (NYSE:BABA)\n\nTilray Inc (NASDAQ:TLRY)', 'A Colorado family says they ""could be dead"" if it wasn\'t for an Amazon.com, Inc (NASDAQ: AMZN) delivery driver who rescued them during the Marshall Fire.\n\nThe wildfire raged across Boulder County last week causing resident to flee as it destroyed up to 1,000 homes.', 'Unlock Rewards\n\nCES will now end a day earlier than planned, the organiser of the global technology and gadget show said, after companies including Amazon.com Inc. and General Motors Co. dropped out of attending the Las Vegas event in person due to Omicron concerns.""']"
2022-01-03,"['Alphabet Inc, Amazon.com Inc and Tesla Inc have market values above $1 trillion. Saudi Arabian Oil Co is valued at about $1.9 trillion, according to Refinitiv.', 'Alphabet Inc, Amazon.com Inc and Tesla Inc have market values above $1 trillion. Saudi Arabian Oil Co is valued at about $1.9 trillion, according to Refinitiv.', 'Thank you Amazon.com Inc. +5,544%, Apple Inc. +2,394%, and Alphabet Inc. 880%, among many other fruitful investments since Sidoxia’s inception in 2008.']"
2022-01-04,"['RBC Capital Markets Tuesday named its top 30 stock picks for 2022, including Amazon (AMZN) - Get Amazon.com, Inc. Report, Dupont (DD) - Get DuPont de Nemours, Inc.', 'Thank you Amazon.com Inc. ( AMZN, Financial) +5,544%, Apple Inc. ( AAPL, Financial) +2,394%, and Alphabet Inc. ( GOOG, Financial) ( GOOGL, Financial) 880%, among many other fruitful investments since Sidoxia’s inception in 2008.', 'CCRN, CPRI, XLU, SPY, IAU, SLV, GOOG, ANGL, DLTR, JNJ, BRK.B, XLB, SHY, WMT, CVX, TXN,\n\nLMT, VTV, V, AMN, CWB, XHE, ROKU, AGG, HD, PLD, XLE, TQQQ, CCRN, CPRI, XLU, SPY, IAU, SLV, GOOG, ANGL, DLTR, JNJ, BRK.B, XLB, SHY, WMT, CVX, TXN, Sold Out: IVOL, EZU, CRUZ, EURL, AXL, GTBP, CCL, CBRE, IIPR, TIP, XLI,\n\nInvestment company Current Portfolio ) buys Amazon.com', 'Inc, Vanguard Total Bond Market ETF, Pacer Lunt Large Cap Alternator ETF, Fidelity MSCI Industrials Index ETF, First Trust NASDAQ CEA Cybersecurity ETF, sells Quadratic Interest Rate Volatility And Inflation H, BTC iShares MSCI EMU ETF, Lockheed Martin Corp, Defiance Hotel, Airline, and Cruise ETF, Direxion Daily FTSE Europe Bull 3x Shares during the', 'Silverleafe Capital Partners, LLC added to a holding in Amazon.com Inc by 876.91%. The purchase prices were between $3189.78 and $3696.06, with an estimated average price of $3427.48. The stock is now traded at around $3350.440000. The impact to a portfolio due to this purchase was 3.03%. The holding were 28,223 shares as of 2021-12-31.', 'Silverleafe Capital Partners, LLC Buys Amazon.com Inc, Vanguard Total Bond Market ETF, Pacer Lunt Large Cap Alternator ETF, Sells Quadratic Interest Rate Volatility And Inflation H, BTC iShares MSCI E']"
2022-01-05,"['.\n\n** Deliveries of Rivian EDV (electric delivery van) began in last month with Amazon.com Inc (NASDAQ: ) as its first customer.', 'Kohrs will also read paid comments from Rumble Rants and end his reading of YouTube Super Chats and donations made on Twitch, a video platform owned by Amazon.com, Inc. (NASDAQ:AMZN).\n\n“Adding Matt Kohrs brings one of the most prominent and significant creators in the finance world to Rumble and Locals,” Rumble CEO Chris Pavlovski said.', 'The Dow Jones Industrial Average fell 392.54 points, or 1.07%, to 36,407.11; the S&P 500 lost 92.96 points, or 1.94%, to 4,700.58; and the Nasdaq Composite dropped 522.54 points, or 3.34%, to 15,100.17 -- led downward by shares of technology titans Apple Inc, Google parent Alphabet Inc, Amazon.com, Meta Platforms and Microsoft Corp.']"
2022-01-06,"['Furlong, who joined the company last year from Amazon.com Inc., then mentioned that GameStop was exploring business opportunities involving blockchain and NFT technologies.\n\nThere have been signs some investors are losing patience.', 'Furlong, who joined the company last year from Amazon.com Inc., then mentioned that GameStop was exploring business opportunities involving blockchain and NFT technologies.\n\nThere have been signs some investors are losing patience.', 'The video game retailer is undergoing a revamp, with Chairman Ryan Cohen tapping executives from companies including Amazon.com Inc to turn GameStop away from brick-and-mortar and towards e-commerce.\n\nThe company is asking select game developers and publishers to list NFTs on its marketplace when it launches later this year, the WSJ report said.']"
2022-01-07,"['Microsoft (MSFT) - Get Microsoft Corporation Report, Amazon (AMZN) - Get Amazon.com, Inc. Report and Disney (DIS) - Get Walt Disney Company Report made Credit Suisse’s list of top monthly stock picks for January.', '., only five make the list as of the time of writing: Apple Inc. ( AAPL, Financial), Microsoft Corp. ( MSFT, Financial), Amazon.com Inc. ( AMZN, Financial), Alphabet Inc. ( GOOG, Financial)( GOOGL, Financial) and Tesla Inc. ( TSLA, Financial). Before 2020, it was only Apple and Microsoft.', 'Shares reduced by 0.03% Amazon.com Inc (AMZN) - 1,580 shares, 3.11% of the total portfolio. Shares added by 1.41% Invesco S P 500 Equal Weight ETF (RSP) - 30,955 shares, 2.98% of the total portfolio. Shares added by 5.71%\n\nVigilare Wealth Management initiated holding in Coca-Cola Co.']"
2022-01-08,"['Intel Corporation (NASDAQ:INTC), one of the world’s largest semiconductor producers, announced a $20 billion standalone foundry business unit in 2021 and had Amazon.com, Inc. (NASDAQ:AMZN) as its first customer.', 'Stellantis Partners With Amazon: The owner of vehicle brands that include Dodge, Fiat, Chrysler and Jeep announced a partnership with Amazon.com Inc (NASDAQ:AMZN). Stellantis Inc (NYSE:STLA) will use Amazon’s technology to help created connected in-vehicle experiences and help train automotive software engineers.', 'Stellantis Partners With Amazon: The owner of vehicle brands that include Dodge, Fiat, Chrysler and Jeep announced a partnership with Amazon.com Inc (NASDAQ:AMZN). Stellantis Inc (NYSE:STLA) will use Amazon’s technology to help created connected in-vehicle experiences and help train automotive software engineers.']"
2022-01-09,"['Amazon.com Inc.’s ( AMZN, Financial) announcement days ago that it signed a series of multiyear agreements with global automaker and mobility provider Stellantis N.V. ( STLA, Financial) is helping energize an investment community that already expects the company to rocket into the stratosphere in 2022.', 'The car company also disclosed it had a deal to sell electric vans to Amazon.com Inc., making it a competitor to Rivian, which also has an agreement to sell vans to the e-retailer.\n\nRivian’s stock dropped 11% on the news Wednesday, and then briefly fell under its $78-a-share IPO price for the first time since it went public.', 'Russell Investments Group Ltd. raised its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 1.8% during the 3rd quarter, Holdings Channel reports. The firm owned 312,214 shares of the e-commerce giant’s stock after buying an additional 5,546 shares during the quarter.', 'Amazon.com makes up about 1.7% of Russell Investments Group Ltd.’s holdings, making the stock its 3rd largest holding. Russell Investments Group Ltd.’s holdings in Amazon.com were worth $1,025,847,000 at the end of the most recent reporting period.', 'Amundi acquired a new stake in Amazon.com in the second quarter valued at approximately $4,445,652,000. Magellan Asset Management Ltd grew its holdings in Amazon.com by 69,241.8% in the third quarter.', 'SG Americas Securities LLC grew its holdings in Amazon.com by 105.6% in the third quarter. SG Americas Securities LLC now owns 25,297 shares of the e-commerce giant’s stock valued at $83,102,000 after purchasing an additional 473,513 shares during the period.', 'Credit Suisse Group dropped their price objective on Amazon.com from $4,200.00 to $4,100.00 and set an “outperform” rating on the stock in a report on Friday, October 29th. UBS Group started coverage on Amazon.com in a research report on Thursday, December 2nd. They issued a “buy” rating and a $4,700.00 target price on the stock.', 'Morgan Stanley decreased their target price on Amazon.com from $4,100.00 to $4,000.00 and set an “overweight” rating on the stock in a research report on Friday, October 29th. Tigress Financial raised their target price on Amazon.com from $4,370.00 to $4,460.00 and gave the company a “buy” rating in a research report on Wednesday, November 10th.', 'According to MarketBeat.com, Amazon.com currently has a consensus rating of “Buy” and a consensus price target of $4,174.44.\n\nShares of NASDAQ AMZN opened at $3,251.08 on Friday. Amazon.com, Inc. has a twelve month low of $2,881.00 and a twelve month high of $3,773.08.', 'Amazon.com (NASDAQ:AMZN) last issued its quarterly earnings data on Wednesday, October 27th. The e-commerce giant reported $6.12 earnings per share for the quarter, missing the Zacks’ consensus estimate of $9.10 by ($2.98). Amazon.com had a net margin of 5.73% and a return on equity of 24.31%.', 'On average, equities analysts predict that Amazon.com, Inc. will post 40.79 earnings per share for the current year.\n\nAmazon.com Company Profile\n\nAmazon.com, Inc engages in the provision of online retail shopping services. It operates through the following business segments: North America, International, and Amazon Web Services (AWS).', 'Visit HoldingsChannel.com to get the latest 13F filings and insider trades for Amazon.com, Inc. (NASDAQ:AMZN).', 'Buys 5,546 Shares of Amazon.com, Inc. (NASDAQ:AMZN)']"
2022-01-10,"['Shares added by 5.70% Amazon.com Inc (AMZN) - 23,667 shares, 1.72% of the total portfolio. Shares reduced by 2.71% Alphabet Inc (GOOGL) - 19,135 shares, 1.21% of the total portfolio. Shares added by 12.51% Alphabet Inc (GOOG) - 18,446 shares, 1.16% of the total portfolio.', 'Shares reduced by 1.49% Amazon.com Inc (AMZN) - 14,826 shares, 6.26% of the total portfolio. Shares added by 0.22% Microsoft Corp (MSFT) - 97,235 shares, 4.14% of the total portfolio. Shares reduced by 0.75% Alphabet Inc (GOOGL) - 10,864 shares, 3.98% of the total portfolio.', 'On the FTSE 100, Scottish Mortgage Investment Trust, which holds a raft of tech darlings like Tesla Inc (NASDAQ:TSLA), Nio Inc (NYSE:NIO) and Amazon.com, Inc. (NASDAQ:AMZN) was among the biggest fallers amid concerns the tech juggernaut is slowing.']"
